AL,Alabama,Closed,58,4858979,NULL
AK,Alaska,Open,18,738432,NULL
AS,American Samoa,N/A,10,55679,NULL
AZ,Arizona,Semi-closed,75,6828065,NULL
AR,Arkansas,Open,37,2978204,NULL
CA,California,Top-two,476,39144818,NULL
CO,Colorado,Semi-closed,77,5456574,NULL
CT,Connecticut,Closed,65,3590886,NULL
DE,Delaware,Closed,27,945934,NULL
DC,DC,N/A,37,693972,NULL
FL,Florida,Closed,238,20271272,NULL
GA,Georgia,Open,112,10214860,NULL
GU,Guam,N/A,11,164229,NULL
HI,Hawaii,Open,31,1431603,NULL
ID,Idaho,Semi-closed,24,1654930,NULL
IL,Illinois,Open,190,12859995,NULL
IN,Indiana,Open,79,6619680,NULL
IA,Iowa,Open,54,3123899,NULL
KS,Kansas,Semi-closed,37,2911641,NULL
KY,Kentucky,Closed,53,4425092,NULL
LA,Louisiana,Top-two,61,4670724,NULL
ME,Maine,Closed,30,1329328,NULL
MD,Maryland,Closed,105,6006401,NULL
MA,Massachusetts,Semi-closed,121,6794422,NULL
MI,Michigan,Open,152,9922576,NULL
MN,Minnesota,Open,94,5489594,NULL
MS,Mississippi,Open,41,2992333,NULL
MO,Missouri,Open,88,6083672,NULL
MT,Montana,Open,22,1032949,NULL
NE,Nebraska,Semi-closed,31,1896190,NULL
NV,Nevada,Closed,39,2890845,NULL
NH,New Hampshire,Semi-closed,32,1330608,NULL
NJ,New Jersey,Semi-closed,126,8958013,NULL
NM,New Mexico,Closed,38,2085109,NULL
NY,New York,Closed,277,19795791,NULL
NC,North Carolina,Semi-closed,120,10042802,NULL
ND,North Dakota,Open,19,756927,NULL
MP,Northern Mariana Islands,N/A,11,55144,NULL
OH,Ohio,Open,165,11613423,NULL
OK,Oklahoma,Semi-closed,42,3911338,NULL
OR,Oregon,Closed,64,4028977,NULL
PA,Pennsylvania,Closed,181,12802503,NULL
PR,Puerto Rico,N/A,58,3337000,NULL
RI,Rhode Island,Semi-closed,31,1056298,NULL
SC,South Carolina,Open,57,4896146,NULL
SD,South Dakota,Semi-closed,20,858469,NULL
TN,Tennessee,Open,77,6600299,NULL
TX,Texas,Open,237,27469114,NULL
UT,Utah,Semi-closed,28,2995919,NULL
VT,Vermont,Open,23,626042,NULL
VA,Virginia,Open,112,8382993,NULL
VI,Virgin Islands,N/A,11,107268,NULL
WA,Washington,Top-two,102,7170351,NULL
WV,West Virginia,Semi-closed,35,1844128,NULL
WI,Wisconsin,Open,89,5771337,NULL
WY,Wyoming,Open,17,586107,NULL
